Sample	Library	Locality	Region	Index	Duplicate
LLM_211	DrumLib2	LLM	Western Gulf	1	Y
LLM_211_2	DrumLib2	LLM	Western Gulf	1	Y
LLM_215	DrumLib2	LLM	Western Gulf	1	N
LLM_219	DrumLib2	LLM	Western Gulf	1	N
LLM_220	DrumLib2	LLM	Western Gulf	1	N
LLM_221	DrumLib2	LLM	Western Gulf	1	N
LLM_222	DrumLib2	LLM	Western Gulf	1	N
LLM_224	DrumLib2	LLM	Western Gulf	1	N
LLM_226	DrumLib2	LLM	Western Gulf	1	N
LLM_230	DrumLib2	LLM	Western Gulf	1	N
LLM_232	DrumLib2	LLM	Western Gulf	1	N
LLM_233	DrumLib2	LLM	Western Gulf	1	N
LLM_234	DrumLib2	LLM	Western Gulf	1	N
LLM_236	DrumLib2	LLM	Western Gulf	1	N
LLM_241	DrumLib2	LLM	Western Gulf	1	N
LLM_242	DrumLib2	LLM	Western Gulf	1	N
LLM_243	DrumLib2	LLM	Western Gulf	1	N
LLM_244	DrumLib2	LLM	Western Gulf	1	N
LLM_247	DrumLib2	LLM	Western Gulf	1	N
LLM_248	DrumLib2	LLM	Western Gulf	1	N
LLM_253	DrumLib2	LLM	Western Gulf	1	N
LLM_256	DrumLib2	LLM	Western Gulf	1	N
LLM_257	DrumLib2	LLM	Western Gulf	1	N
LLM_258	DrumLib2	LLM	Western Gulf	1	N
LLM_260	DrumLib2	LLM	Western Gulf	1	N
LLM_264	DrumLib2	LLM	Western Gulf	1	N
LLM_265	DrumLib2	LLM	Western Gulf	1	N
LLM_270	DrumLib2	LLM	Western Gulf	1	N
LLM_271	DrumLib2	LLM	Western Gulf	1	N
LLM_272	DrumLib2	LLM	Western Gulf	1	N
LLM_274	DrumLib2	LLM	Western Gulf	1	N
LLM_275	DrumLib2	LLM	Western Gulf	1	N
LLM_276	DrumLib2	LLM	Western Gulf	1	N
LLM_280	DrumLib2	LLM	Western Gulf	4	N
LLM_281	DrumLib2	LLM	Western Gulf	4	N
MAT_200	DrumLib2	MAT	Western Gulf	2	N
MAT_210	DrumLib2	MAT	Western Gulf	2	N
MAT_213	DrumLib2	MAT	Western Gulf	2	N
MAT_215	DrumLib2	MAT	Western Gulf	2	N
MAT_221	DrumLib2	MAT	Western Gulf	2	N
MAT_224	DrumLib2	MAT	Western Gulf	2	N
MAT_225	DrumLib2	MAT	Western Gulf	2	N
MAT_230	DrumLib2	MAT	Western Gulf	2	N
MAT_231	DrumLib2	MAT	Western Gulf	2	N
MAT_236	DrumLib2	MAT	Western Gulf	2	N
MAT_237	DrumLib2	MAT	Western Gulf	2	N
MAT_239	DrumLib2	MAT	Western Gulf	2	N
MAT_250	DrumLib2	MAT	Western Gulf	2	N
MAT_258	DrumLib2	MAT	Western Gulf	2	N
MAT_263	DrumLib2	MAT	Western Gulf	2	N
MAT_264	DrumLib2	MAT	Western Gulf	2	N
MAT_270	DrumLib2	MAT	Western Gulf	2	N
MAT_279	DrumLib2	MAT	Western Gulf	2	N
MAT_282	DrumLib2	MAT	Western Gulf	2	N
MAT_284	DrumLib2	MAT	Western Gulf	2	N
MAT_293	DrumLib2	MAT	Western Gulf	2	N
MAT_295	DrumLib2	MAT	Western Gulf	2	N
MAT_305	DrumLib2	MAT	Western Gulf	2	N
MAT_306	DrumLib2	MAT	Western Gulf	2	N
MAT_307	DrumLib2	MAT	Western Gulf	3	Y
MAT_307_2	DrumLib2	MAT	Western Gulf	3	Y
MAT_308	DrumLib2	MAT	Western Gulf	3	N
MAT_309	DrumLib2	MAT	Western Gulf	3	N
MAT_337	DrumLib2	MAT	Western Gulf	3	N
MAT_338	DrumLib2	MAT	Western Gulf	3	N
MAT_341	DrumLib2	MAT	Western Gulf	3	N
MAT_342	DrumLib2	MAT	Western Gulf	3	N
MAT_344	DrumLib2	MAT	Western Gulf	3	N
MAT_353	DrumLib2	MAT	Western Gulf	3	N
MAT_354	DrumLib2	MAT	Western Gulf	3	N
MAT_356	DrumLib2	MAT	Western Gulf	3	N
MAT_358	DrumLib2	MAT	Western Gulf	3	N
MAT_362	DrumLib2	MAT	Western Gulf	3	N
MAT_365	DrumLib2	MAT	Western Gulf	3	N
MAT_370	DrumLib2	MAT	Western Gulf	3	N
MAT_376	DrumLib2	MAT	Western Gulf	3	N
MAT_385	DrumLib2	MAT	Western Gulf	3	N
MAT_386	DrumLib2	MAT	Western Gulf	3	N
MAT_387	DrumLib2	MAT	Western Gulf	3	N
MAT_388	DrumLib2	MAT	Western Gulf	3	N
MAT_389	DrumLib2	MAT	Western Gulf	3	N
MAT_393	DrumLib2	MAT	Western Gulf	3	N
MAT_394	DrumLib2	MAT	Western Gulf	3	N
MAT_403	DrumLib2	MAT	Western Gulf	3	N
MAT_415	DrumLib2	MAT	Western Gulf	3	N
MAT_418	DrumLib2	MAT	Western Gulf	3	N
MAT_419	DrumLib2	MAT	Western Gulf	3	N
MAT_420	DrumLib2	MAT	Western Gulf	3	N
MAT_433	DrumLib2	MAT	Western Gulf	3	N
MAT_435	DrumLib2	MAT	Western Gulf	3	N
MAT_437	DrumLib2	MAT	Western Gulf	3	N
MAT_440	DrumLib2	MAT	Western Gulf	3	N
MAT_443	DrumLib2	MAT	Western Gulf	3	N
MAT_452	DrumLib2	MAT	Western Gulf	3	N
MAT_453	DrumLib2	MAT	Western Gulf	3	N
MAT_465	DrumLib2	MAT	Western Gulf	3	N
MAT_466	DrumLib2	MAT	Western Gulf	3	N
MAT_467	DrumLib2	MAT	Western Gulf	3	N
MAT_469	DrumLib2	MAT	Western Gulf	3	N
MAT_470	DrumLib2	MAT	Western Gulf	3	N
SAB_288	DrumLib2	SAB	Western Gulf	1	Y
SAB_288_2	DrumLib2	SAB	Western Gulf	2	Y
SAB_293	DrumLib2	SAB	Western Gulf	1	Y
SAB_299	DrumLib2	SAB	Western Gulf	1	Y
SAB_313	DrumLib2	SAB	Western Gulf	1	N
SAB_314	DrumLib2	SAB	Western Gulf	1	N
SAB_323	DrumLib2	SAB	Western Gulf	1	N
SAB_331	DrumLib2	SAB	Western Gulf	1	Y
SAB_336	DrumLib2	SAB	Western Gulf	1	N
SAB_338	DrumLib2	SAB	Western Gulf	1	Y
SAB_341	DrumLib2	SAB	Western Gulf	1	Y
SAB_343	DrumLib2	SAB	Western Gulf	1	Y
SAB_344	DrumLib2	SAB	Western Gulf	1	N
SAB_347	DrumLib2	SAB	Western Gulf	2	N
SAB_349	DrumLib2	SAB	Western Gulf	2	N
SAB_374	DrumLib2	SAB	Western Gulf	2	N
SAB_377	DrumLib2	SAB	Western Gulf	2	N
SAB_378	DrumLib2	SAB	Western Gulf	2	N
SAB_394	DrumLib2	SAB	Western Gulf	2	N
SAB_395	DrumLib2	SAB	Western Gulf	2	N
SAB_400	DrumLib2	SAB	Western Gulf	2	N
SAB_401	DrumLib2	SAB	Western Gulf	2	N
SAB_408	DrumLib2	SAB	Western Gulf	2	N
SAB_410	DrumLib2	SAB	Western Gulf	2	N
SAB_433	DrumLib2	SAB	Western Gulf	2	N
SAB_437	DrumLib2	SAB	Western Gulf	2	N
SAB_440	DrumLib2	SAB	Western Gulf	2	N
SAB_441	DrumLib2	SAB	Western Gulf	2	N
SAB_450	DrumLib2	SAB	Western Gulf	2	N
SAB_455	DrumLib2	SAB	Western Gulf	2	N
SAB_456	DrumLib2	SAB	Western Gulf	2	N
SAB_458	DrumLib2	SAB	Western Gulf	2	N
SAB_459	DrumLib2	SAB	Western Gulf	2	N
SAB_464	DrumLib2	SAB	Western Gulf	4	N
SAB_467	DrumLib2	SAB	Western Gulf	4	N
WAS_001	DrumLib3	WAS	Atlantic	4	Y
WAS_002	DrumLib3	WAS	Atlantic	4	Y
WAS_003	DrumLib3	WAS	Atlantic	4	Y
WAS_004	DrumLib3	WAS	Atlantic	4	Y
WAS_005	DrumLib3	WAS	Atlantic	4	N
WAS_006	DrumLib3	WAS	Atlantic	4	N
WAS_007	DrumLib3	WAS	Atlantic	4	N
WAS_008	DrumLib3	WAS	Atlantic	4	N
WAS_009	DrumLib3	WAS	Atlantic	4	Y
WAS_010	DrumLib3	WAS	Atlantic	4	N
WAS_011	DrumLib3	WAS	Atlantic	4	N
