Pop	Region	Estuary Latitude	Estuary Longitude	Catchment Latitude	Catchment Longitude	Estuary Area (km2)	Tidal Fresh Zone Area (km2)	Mixing Zone Area (km2)	Saltwater Zone Area (km2)	Tidal Fresh Blackwater	Mixing Zone Blackwater	Seawater Blackwater	Estuary Volume (m3)	Estuary Depth (m)	Estuary Perimeter (km)	Percent Estuary Open (%)	Catchment Area (km2)	Catchment Mean Elev. (m)	Catchment Max Elev. (m)	Catchment/Estuary Area Ratio	Total (km2)	Population (#)	Pop / Estuary Area (#.km-2)	Tide Height (m)	Tide Volume (m3)	Tides/day (#)	Tide Volume / Day (m3.d-1)	Tide Ratio	Stratification Ratio	Percent Freshwater (%)	Percent Mixed Water (%)	Percent Seawater (%)	Average Salinity (psu)	Tidal Exchange (days)	Tidal Freshwater Flush (d)	Daily FW/Est Area (m.d-1)	Daily Freshwater (m3.d-1) (Best)	Flow / Estuary Area (m.d-1) (Best)	Total FW Volume (1.d-1)	Daily Precipitation (m3.d-1)	Daily Evaporation (m3.d-1)	Daily Precip / Est Area (mm.d-1)	Daily Evap / Est Area (mm.d-1)	Flow (m3.d-1)	Air Temp Mean (C)	Air Temp Std Dev (C)	Frost Days (#)	Wind Speed (m.sec-1)	Sea Surface Temp Mean (C)	Sea Surface Temp Std Dev (C)	Ocean Salinity Mean (psu)	Ocean Salinity Max (psu)	Ocean Salinity Min (psu)	Oceanic DIP (uM)	Oceanic NO3 (uM)	TSS (tonne.y-1)	TN (kg.y-1)	TP (kg.y-1)	TSS/Est Area (tonne.km-2.y-1)	TN/Est Area (kg.km-2.y-1)	TP/Est Area (kg.km-2.y-1)
APA	EGULF	29.75675	-84.77106	32.2096	-84.49969	593	46	273	274	1	0	0	1073330000	1.81	402	2.99	52214	148	1250	88.1	51483.7999	2738086	4617.3	0.58	343940000	2	664618357	0.32	0.0976	7.8	46.1	46.2	19	8	4	107.926	64000000	107.926	0.06044	2.30E+06	1.43E+06	3.879	2.411	6.56E+07	20.8	5.7	16	6	23.7	4.2	35.3	36.4	32.9	0.13	0.87	127000	2.59E+07	970300	214.2	43676.2	1636.26
CEK	EGULF	29.28666	-83.15062	30.59383	-82.95604	165	7	110	48	1	1	0	193050000	1.17	345	11.89	25989	51	139	157.5	25837.6779	417564	2530.7	0.76	125400000	2	242318841	0.65	0.10669	4.1	66.6	29.3	17	4	1	155.758	25700000	155.758	0.13392	571000	417000	3.461	2.527	3.37E+07	21.8	5	13	6	24	4	35.2	36	33.3	0.12	0.59	175000	5.78E+06	2.46E+06	1060.6	35042.4	14917.58
CHA	EGULF	26.76316	-82.12829	27.28826	-81.92897	502	1	201	300	1	1	1	818260000	1.63	567	2.64	8134	22	75	16.2	11447.736	397072	791	0.65	326300000	2	630531401	0.4	0.0085	0.2	40.1	59.7	22	59	3	10.1	5070000	10.1	0.00655	1.72E+06	1.43E+06	3.426	2.849	2.46E+06	23.2	3.8	1	5.9	25.5	3.1	35.9	36.3	34.7	0.1	0.58	140000	1.85E+06	290780	278.9	3681.3	579.24
HAR	ATL	31.33073	-81.35295	32.82617	-82.86323	39	5	29	5	0	0	0	76440000	1.96	215	1.63	36962	133	459	947.7	36754.50998	1681584	43117.5	1.9	74100000	2	143188406	0.97	0.23917	12	75.1	13	13	1	0	876.923	34200000	876.923	0.44801	138000	91800	3.538	2.354	3.88E+07	20.4	5.8	28	6.7	23.8	3.4	35.2	35.8	34.6	0.17	0.29	1960	1.53E+07	799800	50.3	391282.1	20507.69
IND	ATL	28.11109	-80.60166	28.06127	-80.68131	866	0	109	757	0	0	0	666820000	0.77	1383	0.21	3093	5	14	3.6	2944.811	471807	544.8	0.32	277120000	2	535497585	0.42	0.00683	0	12.6	87.4	29	36	3	3.441	2980000	3.441	0.00549	3.06E+06	2.38E+06	3.533	2.748	1.22E+06	22.6	4	3	6.5	26.1	2.4	36.1	36.3	36	0.16	0.27	39700	1.61E+06	187860	45.8	1859.1	216.93
LLM	WGULF	26.42264	-97.36166	26.51234	-98.00993	1308	0	27	1281	0	0	0	994080000	0.76	1413	0.04	13165	43	257	10.1	13048.362	616541	471.4	0.4	523200000	1	505507246	0.53	0.00146	0	2.1	97.9	29	233	4	1.575	2060000	1.575	0.00074	2.41E+06	3.73E+06	1.843	2.852	2.06E+06	23.3	4.8	3	7.1	24.6	3.5	35.1	36.6	31.9	0.2	0.12	3.18E+06	9.13E+06	337900	2431.2	6978.6	258.33
MAT	WGULF	28.59952	-96.16027	31.06427	-99.73837	1115	2	918	195	0	0	0	1572150000	1.41	790	0.76	121762	619	1374	109.2	121234.778	1432800	1285	0.2	223000000	1	215458937	0.14	0.04799	0.2	82.3	17.5	16	82	38	8.906	9930000	8.906	0.00658	3.27E+06	2.86E+06	2.933	2.565	1.26E+07	21.3	5.9	9	7	24.1	4.1	34.6	36.2	30.5	0.21	0.14	1.14E+06	9.13E+06	830800	1022.4	8186.5	745.11
MIS	WGULF	30.26194	-89.02313	30.55087	-89.10684	1581	0	1409	172	0	0	0	3841830000	2.43	553	1.99	4050	33	124	2.6	39069.94	215299	136.2	0.51	806310000	1	779043478	0.21	0.00793	0	89.1	10.9	15	336	23	1.961	3100000	1.961	0.00161	6.88E+06	3.80E+06	4.352	2.404	1.84E+06	20.2	6.2	21	6.2	23.2	4.8	32.7	35.1	30.2	0.27	1.95	563000	1.62E+06	166780	356.1	1027.2	105.49
SAB	WGULF	29.87609	-93.89706	31.47836	-94.769	265	8	257	0	0	0	0	659850000	2.49	355	0.17	53674	86	236	202.5	51999.1897	1230500	4643.4	0.47	124550000	1	120338164	0.19	0.36975	3.1	96.9	0	12	10	10	166.415	44100000	166.415	0.06743	1.05E+06	655000	3.962	2.472	5.97E+07	20.6	6.2	15	6.4	23.4	4.8	33.9	35.8	30.7	0.32	0.7	811000	2.34E+07	1.36E+06	3060.4	88226.4	5135.47
SCA	ATL	32.90534	-79.95033	34.43504	-81.20064	85	1	58	25	1	0	0	424150000	4.99	313	0.83	41116	216	1679	483.7	39857.31	3139518	36935.5	1.45	123250000	2	238164251	0.29	0.05799	1.4	68.8	29.8	17	16	5	161.176	13700000	161.176	0.03256	293000	182000	3.447	2.141	3.60E+07	18.6	6.4	41	7.1	23.9	3.1	35.6	36	34.9	0.16	0.33	32200	2.00E+06	278380	378.8	23552.9	3275.06
