site1	site2	fst	pval	dist	sig	p.bonf	p.fdr	sig.bonf	sig.fdr	region.1.wgulf	region.2.wgulf	region.1.egulf	region.2.egulf	region.1.atl	region.2.atl	wgulf.egulf	wgulf.atl	egulf.atl	comparison
LLM	LLM	0	NA	0	FALSE	NA	NA	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
MAT	LLM	0.00301	0.04326	290	TRUE	1	0.0457557692307692	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
SAB	LLM	0.00098	0.35096	567	FALSE	1	0.35096	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
MIS	LLM	0.00843	0	1260	TRUE	0	0	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
APA	LLM	0.13734	0	1687	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
CEK	LLM	0.18713	0	1961	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
CHA	LLM	0.21283	0	2248	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
IND	LLM	0.09817	0	2985	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
HAR	LLM	0.08965	0	3306	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
WAS	LLM	0.0889	0	3391	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
SCA	LLM	0.08196	0	3537	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
LLM	MAT	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
MAT	MAT	0	NA	0	FALSE	NA	NA	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
SAB	MAT	0.00349	0.03604	277	TRUE	1	0.0388666666666667	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
MIS	MAT	0.00763	0	970	TRUE	0	0	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Within Region
APA	MAT	0.13072	0	1397	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
CEK	MAT	0.18023	0	1671	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
CHA	MAT	0.20997	0	1958	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	WGulf.EGulf
IND	MAT	0.09027	0	2695	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
HAR	MAT	0.08254	0	3016	TRUE	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	WGulf.Atl
